Indicator,Type,Description,,
cff61ad77203e09e0b2791e08878acd6a3b526b887587a948626b42f6ceb9c35,SHA256,Shellcode,,
d0a924d9472aa0a3dee21641306d07ef6397135a9574c44f53b1f59e54c0da20,SHA256,Shellcode,,
d41b5edd03e8199d2d48e555ae5c6472f02d623cffea084f1763f7ea62496c64,SHA256,Shellcode,,
d7901def5c66c97f969b630c3a9cde8ceb8a30132a2b8992b0509cee84aad7ff,SHA256,Shellcode,,
d82c5f6aab5dab1fefa24179a2de857e8fafcd779210262252ad2589a79069b8,SHA256,Shellcode,,
e14ee7e5b67a539edd74c91f82846b9082e571810b547852e302d8788f382a7e,SHA256,Shellcode,,
e760f0a34830da75f6f015630f247192165e92bb1cc2698a45dcaf4f2ea303dd,SHA256,Shellcode,,
f286f4ebf08775eaeb0b7e9606da1913b0a1c452b7aad212ba4146e71243d718,SHA256,Shellcode,,
f59db8f4f91745567d016df79efc09860ae91f0e913350d1c3289b4341b1c655,SHA256,Shellcode,,
ff0a3e99705f1673c5997035f3130e1876a0be221c2644aeec28d80507d36997,SHA256,Shellcode,,
103.55.128.118/__utm.gif,URL,C2Server URL,,
103.55.128.118/activity,URL,C2Server URL,,
103.55.128.118/ca,URL,C2Server URL,,
103.55.128.118/dpixel,URL,C2Server URL,,
103.55.128.118/g.pixel,URL,C2Server URL,,
103.55.128.118/ga.js,URL,C2Server URL,,
103.55.128.118/IE9CompatViewList.xml,URL,C2Server URL,,
103.55.128.118/j.ad,URL,C2Server URL,,
103.55.128.118/load,URL,C2Server URL,,
103.55.128.118/pixel.gif,URL,C2Server URL,,
103.55.128.118/ptj,URL,C2Server URL,,
103.55.128.118/push,URL,C2Server URL,,
103.55.128.118/updates.rss,URL,C2Server URL,,
103.55.128.118/visit.js,URL,C2Server URL,,
103.97.34.151/fwlink,URL,C2Server URL,,
103.97.34.151/pixel.gif,URL,C2Server URL,,
173.199.115.116/ga.js,URL,C2Server URL,,
173.199.115.116/IE9CompatViewList.xml,URL,C2Server URL,,
173.199.115.116/load,URL,C2Server URL,,
173.199.115.116/pixel.gif,URL,C2Server URL,,
173.234.25.78/ca,URL,C2Server URL,,
173.234.25.78/push,URL,C2Server URL,,
192.99.250.2/ga.js,URL,C2Server URL,,
192.99.250.2/ga.js,URL,C2Server URL,,
192.99.250.2/pixel,URL,C2Server URL,,
192.99.250.2/pixel,URL,C2Server URL,,
31.44.184.47/cx,URL,C2Server URL,,
31.44.184.47/g.pixel,URL,C2Server URL,,
31.44.184.47/IE9CompatViewList.xml,URL,C2Server URL,,
31.44.184.47/j.ad,URL,C2Server URL,,
